GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
8404,1319.3205896014651,4.6230329298709405,0.16592186109451332,27.862711395441398,7.55600885690927e-171,1.393781393745484e-166,SPARCL1
25939,17775.67857148406,3.779013630270355,0.14281636117811536,26.460649179804452,2.7517954747836786e-154,2.537980966392987e-150,SAMHD1
4128,3065.008010364553,3.3477970205628544,0.12861076072738692,26.030458117412877,2.2395497912982013e-149,1.377024515009554e-145,MAOA
2878,16100.99385956226,3.7414821067411057,0.1463178393845222,25.570922332365214,3.213781134765937e-144,1.4820351702973118e-140,GPX3
1843,4473.022173587437,2.960938748265088,0.11736867968255059,25.227673654279812,1.99143599475774e-140,7.346805671860254e-137,DUSP1
12,3465.710532265885,3.232611204679629,0.12999660422147427,24.8668895933024,1.6981414695354895e-136,5.220652924508607e-133,SERPINA3
783,749.7304794945501,3.161499704922833,0.12739351881601502,24.816801783211215,5.9051085672968084e-136,1.5560804661765276e-132,CACNB2
7412,656.3939830072661,-3.6538618324352394,0.15850072395616047,-23.0526507465408,1.3835568088403032e-117,3.190136111983529e-114,VCAM1
28999,740.7631232309667,4.417146146885843,0.19222519714400277,22.979017384369232,7.557784644826578e-117,1.5490099506496787e-113,KLF15
140711,885.8412308611246,3.6896056737613847,0.16511001022995828,22.346347557138763,1.3103427952830703e-110,2.4170583201791514e-107,TLDC2
5187,1028.4282107947188,3.2276201127236033,0.15089255586342523,21.39018783434859,1.6489342261288317e-101,2.7651127941065846e-98,PER1
9510,39370.464045511544,2.356712026137935,0.11148942079263999,21.138436359098154,3.525662646113246e-99,5.419531097517078e-96,ADAMTS1
26112,2605.1058167784995,2.9458540193224834,0.14091153670140508,20.90569791716074,4.751988121198016e-97,6.742705606432201e-94,CCDC69
4502,4628.280002649444,2.199898726376621,0.10568502199800073,20.815614973503408,3.125099211523624e-96,4.117541432554627e-93,MT2A
115207,3438.166473766719,-2.5270205053720494,0.12500001354701815,-20.21616185202671,7.056418911917765e-91,8.585053039080535e-88,KCTD12
261729,4070.4800987964773,1.9842430931547241,0.09816422400888539,20.21350561458235,7.446646895006428e-91,8.585053039080535e-88,STEAP2
91624,7462.142503352141,1.929288930730371,0.09591840647852999,20.1138551145782,5.581277309127569e-90,6.056014190833361e-87,NEXN
167681,408.82989217397477,-2.820597664321349,0.14146425533793697,-19.938589133936077,1.8830102634460975e-88,1.9296670733070398e-85,PRSS35
121512,1598.9157308709405,2.224251984010831,0.11235353954158486,19.796901753928093,3.16575406509396e-87,3.0734473413012202e-84,FGD4
6272,7235.5599865960085,2.2069689082028385,0.1124470660703324,19.62673625314904,9.140056613792634e-86,8.429874214900946e-83,SORT1
4501,264.0229157812786,3.3356702547116517,0.17772539880919522,18.768675029351346,1.3624118488175525e-78,1.196716617299456e-75,MT1X
9424,1203.7473165877523,2.8064431596247386,0.1499305334543351,18.718289697004963,3.5124935534805664e-78,2.9450661857955695e-75,KCNK6
6659,1684.4733877891063,-2.4159982355171272,0.12985586938780078,-18.605229373976194,2.914416937157918e-77,2.33736238360065e-74,SOX4
104,2554.1770757162176,2.328499453857914,0.1261376772593068,18.459983602449842,4.334731947963981e-76,3.3316027296726495e-73,ADARB1
5806,12747.414962273551,2.2516128659304195,0.12425752430860194,18.12053538374374,2.1944921293812353e-73,1.6191840727426506e-70,PTX3
4837,9718.948206398349,2.199815479988053,0.1217440528385788,18.069182261451427,5.5733653424684154e-73,3.954088350275861e-70,NNMT
3625,541.8039514962061,3.365402082688299,0.18630621773466285,18.063820540231788,6.142068605585608e-73,4.196170277727116e-70,INHBB
388610,1345.174437356186,1.997612792294748,0.11064479226090147,18.054286618247318,7.299894829471632e-73,4.8090664294440616e-70,TRNP1
7472,450.1180583629454,-2.9774193169616,0.16514343605826917,-18.029292523083075,1.1475049931806178e-72,7.298923139382647e-70,WNT2
54206,4209.027611301976,2.4135505177357963,0.134740971446852,17.912521275592933,9.417158678741743e-72,5.790296966269006e-69,ERRFI1
886,1578.7133860194429,-2.1668957607153962,0.12175970938340415,-17.79649254822174,7.523582964376444e-71,4.476774560028641e-68,CCKAR
171024,11980.464170004301,1.7645800492345356,0.0995820299308517,17.7198642210832,2.9462260801504755e-70,1.6983151960767396e-67,SYNPO2
8038,1791.7207787276707,-1.820015576613632,0.10327223010057374,-17.623475108857175,1.626965436345025e-69,9.094243769339494e-67,ADAM12
10630,1407.7599957621576,1.8452029539087216,0.10519717065346885,17.540423781805167,7.040043981672971e-69,3.819430920174695e-66,PDPN
387496,1259.0373592286742,2.2983789135878263,0.13303050989379608,17.277081140429516,7.000210160797043e-67,3.689310760744636e-64,RASL11A
7079,254.9313759314202,2.890943761588445,0.16842566309575882,17.164508712337927,4.896082736986958e-66,2.5086983935128174e-63,TIMP4
84532,810.9667128244923,1.9254722571295515,0.11338153387226704,16.982238565397633,1.1116388325297414e-64,5.541970244552327e-62,ACSS1
140766,1053.3366270753036,-2.4842901202189545,0.1465732923099433,-16.94913228097302,1.9531514532424957e-64,9.481008343818704e-62,ADAMTS14
654463,324.82683657534403,-3.0863775866372625,0.18408024948392263,-16.766478724849964,4.2920193786814716e-63,2.0300151143373953e-60,FER1L6
83716,4022.2605681889863,2.6339863216827606,0.1571534565075129,16.76060062704914,4.738133401550002e-63,2.1849902181247835e-60,CRISPLD2
3908,23133.760733611693,2.046387716424819,0.12237305259305557,16.722535501585973,8.981535850154482e-63,4.0408148851695016e-60,LAMA2
91584,1094.512823194388,2.7357300503315938,0.16365614858669722,16.716329169156356,9.967261259333859e-63,4.3775262188017227e-60,PLXNA4
11170,204.37914221862468,4.827349476072503,0.28883706623374344,16.713053968516412,1.0530169109007737e-62,4.5171976601106215e-60,FAM107A
9414,7143.200551358361,1.9546784863804747,0.11699788684918883,16.70695547604266,1.1664063459085504e-62,4.889893512870255e-60,TJP2
256691,1276.8867190224064,1.7343500348859828,0.10400071149819533,16.676328554887608,1.9483114059558253e-62,7.986344932058034e-60,MAMDC2
6387,36310.458975425405,-1.8662985840700432,0.11254694916541476,-16.582400481838647,9.342140731594608e-62,3.7461984333694376e-59,CXCL12
3306,588.8727103775655,2.4399802267041033,0.1472419149508062,16.571233996238814,1.1249335070730468e-61,4.415004993929664e-59,HSPA2
7704,1539.229975182307,7.4385720831311435,0.4491970634454318,16.559707728442834,1.3625429936965354e-61,5.2361391795263105e-59,ZBTB16
4493,717.5627742633418,2.181677736358948,0.13305540050737444,16.396762010708702,2.0170632295777132e-60,7.593213945467449e-58,MT1E
57709,335.77618941713695,-2.9353599400382038,0.1810448851949384,-16.21343755101163,4.052530829122956e-59,1.495059673480041e-56,SLC7A14
4856,568.326344546035,-2.5155353617557505,0.15534738879492319,-16.19296842560098,5.653420768105586e-59,2.0447646958524637e-56,CCN3
1301,471.853559991393,2.462838256474757,0.1521309391011789,16.188937444452232,6.03619190942454e-59,2.1412229992547126e-56,COL11A1
1759,1166.0986153878016,-1.7017903890555985,0.10743528677102955,-15.8401437758762,1.6444441631792994e-56,5.723286232831199e-54,DNM1
57722,485.33044479142825,-2.212534031336356,0.13978428774845755,-15.828202632600744,1.9881982002572212e-56,6.791537778137908e-54,IGDCC4
3613,782.6342593929155,2.3326142988723064,0.14779931219293047,15.78230821417774,4.118474210231549e-56,1.3812613687623846e-53,IMPA2
154796,506.45418400194535,-2.3470439300108445,0.14917349866371085,-15.733652096622746,8.893033562567351e-56,2.9293017338413817e-53,AMOT
10418,2250.520645167363,1.9129436755310714,0.12200208439877964,15.679598303241825,2.0856903872244353e-55,6.749586821533672e-53,SPON1
64344,266.98959100601115,2.5352880125090893,0.16249429332742865,15.602320306722666,7.01957787534774e-55,2.232467818770076e-52,HIF3A
2824,1056.6955958952617,2.496093190239201,0.16153490842983947,15.452345344432752,7.274750224568628e-54,2.274407502413439e-51,GPM6B
11080,1939.5162744084676,1.5338742596719759,0.09976613027476164,15.374699363878285,2.419639192110985e-53,7.316830252078562e-51,DNAJB4
94274,300.97120341070183,3.124378922563281,0.20320283924063612,15.375665685769974,2.3838068599152606e-53,7.316830252078562e-51,PPP1R14A
25777,4687.916942833894,1.8517636804793127,0.12098429232143848,15.305819003011013,6.991630734412152e-53,2.080122911725267e-50,SUN2
10272,2340.7707744168583,1.7989837895122573,0.11782124260246082,15.2687558692806,1.2350699828928626e-52,3.616206492768531e-50,FSTL3
25840,5062.576175728697,2.232511237512516,0.14654456631351237,15.23435016168637,2.0919674760339872e-52,6.029442509831708e-50,TMT1A
4232,1224.400967365133,-1.8425608235638555,0.12114101333041183,-15.210049618276473,3.0331316284496888e-52,8.607560925905071e-50,MEST
23052,2643.2423027771183,1.9520030552544352,0.12921074039156727,15.107126925664062,1.4533992988858013e-51,4.062030828370832e-49,ENDOD1
